Portfolio Type,Index,Average Return,Variance,Standard Deviation,Weight 1,Weight 2,Weight 3,Weight 4,Weight 5,Weight 6,Weight 7,Weight 8,Weight 9,Weight 10
Random,11,172367.8887042569,128.00295607804273,11.313839139657357,0.042229002297122696,0.06749244773141228,0.20298888977849727,0.01977496748705919,0.167188191322901,0.19960669088395566,0.054901316858581246,0.032381791932442415,0.08484778852663143,0.12858891318139676
Random,12,183921.17905290116,187.08274895405285,13.677819597949552,0.04543700646089904,0.13926934844851152,0.054407398656051265,0.09967828840107677,0.10079932976468274,0.09941580537631088,0.15399183321073975,0.009111140548054363,0.14610149604263595,0.15178835309103764
Random,13,191940.37152994852,176.8795598949101,13.299607509054923,0.08911188171338955,0.10264659381289104,0.14798788617182632,0.09345983343357517,0.047832319501886766,0.13796415496343536,0.15102238075452729,0.05872756528735342,0.11441807193022074,0.05682931243089426
Random,14,176783.64804815353,175.99993562732402,13.266496735284866,0.074682518988351,0.13956510876820064,0.18427184306259267,0.07455254784510305,0.12136809225444373,0.015120378366055056,0.052808438210342,0.12048016345597197,0.13401629986820074,0.08313460918073891
Random,15,191200.63100263439,203.71621454523617,14.272918921693494,0.021488477012203668,0.08092137292729149,0.09157178890477001,0.026069595514432213,0.10475140837762552,0.14196820807356125,0.06315274171527968,0.08488821153745105,0.2054326700641955,0.1797555258731896
Random,16,176434.3441552958,117.69686051776682,10.848818392699124,0.01073999772996649,0.09610918997201581,0.1462682651966771,0.03500498820548719,0.12342582807096654,0.13317753707454216,0.09702744211524128,0.11357766121328006,0.12424336864010553,0.12042572178171797
Random,17,193092.46396655063,260.9461682523212,16.153828284723133,0.13490842992312005,0.02715544562169193,0.16059413555740162,0.10805511530283161,0.16663010505331774,0.019817224649304327,0.023995537321704112,0.1582660596547758,0.12724796679373884,0.07332998012211413
Random,18,161442.72206085728,135.66995882040962,11.647744795470478,0.1035994851804467,0.14409211744118128,0.15205244961651737,0.018811699344499066,0.09267169104294048,0.07461189524550625,0.12074324017325287,0.11415830308528549,0.003520489148526413,0.17573862972184404
Random,19,168619.9399179675,164.3178899550184,12.818653983746437,0.012769271043751897,0.1976765016464044,0.11219904770269094,0.14198920723191158,0.14417366045463822,0.037759025620252025,0.01707268903309525,0.1666201929893971,0.04293836324984683,0.12680204102801187
Random,20,211009.3280549387,404.8367047758108,20.120554285998455,0.18047150708810575,0.021084224927404725,0.04573829469925557,0.14425333192930892,0.1811436896653689,0.08589542800621806,0.08708331594155903,0.11231405799312899,0.13475570308928878,0.007260446660361501
Random,21,179568.85296584293,118.366746834429,10.879648286338535,0.051982250815707204,0.15155892512073346,0.09308043207994811,0.026415672045267468,0.19394748101312723,0.20219002973381608,0.028606431460357018,0.13003460680974643,0.06941372392814801,0.052770446993149096
Random,22,198591.8103129621,388.41927849144446,19.70835555015802,0.17679788355406134,0.1875133295146037,0.003527711979189075,0.15854902294152556,0.05499735803393605,0.06772019954242695,0.16450066138284264,0.06908100806310656,0.08319142612769531,0.03412139886061269
Random,23,188433.89797622198,123.12747235842967,11.096281915958592,0.05512978697947779,0.016304819872733453,0.13543278782396342,0.056608452246159194,0.06632655502229635,0.14679405207618418,0.1214326486249502,0.17558743153420084,0.09554752480108751,0.13083594101894716
